review_id,sentiment,main_category,subcategory,severity,confidence,evidence,branch_id,created_at,branch_name,source,rating,evidence_2,content,additional_evidence,more_evidence,final_evidence
rev_12902,0.5,FOOD,FOOD_TASTE,1.0,1.0,thái ăn khá ngon,branch_times_city,2026-05-05T10:31:38+07:00,Times City,grabfood,1,,,,,
rev_12902,-0.5,FOOD,FOOD_TASTE,2.0,1.0,"xuka có vị lạ(?) lạ không phải do bị hỏng hay gì cả mà vị kiểu là lạ ấy, chả biết tả như nào vì lần đầu ăn có vị kiểu đấy :)))) như kiểu chè xuka là mix các vị vào ý ăn không hợp lắm",branch_times_city,2026-05-05T10:31:38+07:00,Times City,grabfood,1,,,,,
rev_12902,1.0,SERVICE,SERVICE_STAFF_ATTITUDE,1.0,1.0,cô bán hàng đon đả lắm,branch_times_city,2026-05-05T10:31:38+07:00,Times City,grabfood,1,,,,,
rev_12902,0.5,FOOD,FOOD_PORTION,1.0,1.0,bát chè đầy đặn,branch_times_city,2026-05-05T10:31:38+07:00,Times City,grabfood,1,,,,,
rev_12902,0.0,AMBIENCE,AMBIENCE_DECOR,1.0,0.9,ở khu ngõ chợ đồng xuân thì không dám chê trách gì không gian,branch_times_city,2026-05-05T10:31:38+07:00,Times City,grabfood,1,,,,,
rev_12902,0.5,PRICE,PRICE_VALUE_FOR_MONEY,1.0,1.0,20k/bát giá hợp lý,branch_times_city,2026-05-05T10:31:38+07:00,Times City,grabfood,1,,,,,
rev_12898,0.5,FOOD,FOOD_TASTE,1.0,1.0,bán quẩy ngon,branch_truong_dinh,2026-05-05T10:42:28+07:00,Trương Định,grabfood,1,,,,,
rev_12898,1.0,FOOD,FOOD_TASTE,1.0,1.0,sữa đậu nành và đỗ đen cũng rất chất lượng không nhạt như mấy cô bên ngoài bán,branch_truong_dinh,2026-05-05T10:42:28+07:00,Trương Định,grabfood,1,,,,,
rev_12895,-1.0,SERVICE,SERVICE_STAFF_ATTITUDE,4.0,1.0,chủ quán và dàn nhân viên vẫn giữ trình độ dân trí và thái độ phục vụ như thế này thì mình sẽ không bao giờ quay lại và không bao giờ giới thiệu bất cứ ai đến đây nữa,branch_cau_giay,2026-05-05T11:18:42+07:00,Cầu Giấy,google_maps,0,,,,,
rev_12891,-0.5,AMBIENCE,AMBIENCE_COMFORT,2.0,1.0,không gian nhỏ hẹp 2 tầng,branch_aeon_mall_ha_dong,2026-05-05T11:29:38+07:00,Aeon Mall Hà Đông,shopeefood,0,,,,,
rev_12891,-0.5,FOOD,FOOD_FRESHNESS,3.0,1.0,món ăn để lạnh nhiều cảm giác sushi làm từ lâu rồi,branch_aeon_mall_ha_dong,2026-05-05T11:29:38+07:00,Aeon Mall Hà Đông,shopeefood,0,,,,,
rev_12891,-0.5,FOOD,FOOD_TASTE,2.0,1.0,cơm thì ko dk ngon lắm,branch_aeon_mall_ha_dong,2026-05-05T11:29:38+07:00,Aeon Mall Hà Đông,shopeefood,0,,,,,
rev_12891,-0.5,FOOD,FOOD_TASTE,2.0,1.0,nước tương ko được đậm đà,branch_aeon_mall_ha_dong,2026-05-05T11:29:38+07:00,Aeon Mall Hà Đông,shopeefood,0,,,,,
rev_12891,0.0,PRICE,PRICE_VALUE_FOR_MONEY,1.0,0.9,chỉ được cái giá cả rẻ hơn nên ăn thử cho biết chứ ko nghiền dk,branch_aeon_mall_ha_dong,2026-05-05T11:29:38+07:00,Aeon Mall Hà Đông,shopeefood,0,,,,,
rev_12894,1.0,FOOD,FOOD_TEMPERATURE,1.0,1.0,ship đến bánh còn nóng hổi,branch_vo_chi_cong,2026-05-05T11:38:02+07:00,Võ Chí Công,shopeefood,1,,,,,
rev_12894,1.0,FOOD,FOOD_PRESENTATION,1.0,1.0,trông rất bắt mắt,branch_vo_chi_cong,2026-05-05T11:38:02+07:00,Võ Chí Công,shopeefood,1,,,,,
rev_12894,1.0,FOOD,FOOD_TASTE,1.0,1.0,"vỏ bánh mềm mướt, nhân thịt mộc nhĩ nhiều, hành khô ngon nữa. tổng thể rất ngon ạh.",branch_vo_chi_cong,2026-05-05T11:38:02+07:00,Võ Chí Công,shopeefood,1,,,,,
rev_12894,-0.5,FOOD,FOOD_TASTE,1.0,1.0,nước chấm hơi nhạt thôi,branch_vo_chi_cong,2026-05-05T11:38:02+07:00,Võ Chí Công,shopeefood,1,,,,,
rev_12900,0.0,PRICE,PRICE_VALUE_FOR_MONEY,1.0,1.0,"bánh mì thịt heo 25k/cái, giá cũng ngang với mặt bằng chung, không đắt không rẻ",branch_nguyen_chi_thanh,2026-05-05T11:41:33+07:00,Nguyễn Chí Thanh,shopeefood,1,,,,,
rev_12900,0.5,FOOD,FOOD_PORTION,1.0,1.0,"bánh ruột đặc và dày, rau thịt cũng đầy đặn",branch_nguyen_chi_thanh,2026-05-05T11:41:33+07:00,Nguyễn Chí Thanh,shopeefood,1,,,,,
rev_12900,-0.5,FOOD,FOOD_TASTE,2.0,1.0,"ăn thấy bình thường thôi, không ngon lắm",branch_nguyen_chi_thanh,2026-05-05T11:41:33+07:00,Nguyễn Chí Thanh,shopeefood,1,,,,,
rev_12900,-0.5,PRICE,PRICE_VALUE_FOR_MONEY,2.0,1.0,so với giá thì chưa tương xứng,branch_nguyen_chi_thanh,2026-05-05T11:41:33+07:00,Nguyễn Chí Thanh,shopeefood,1,,,,,
rev_12900,1.0,SERVICE,SERVICE_WAIT_TIME,1.0,1.0,phục vụ nhanh,branch_nguyen_chi_thanh,2026-05-05T11:41:33+07:00,Nguyễn Chí Thanh,shopeefood,1,,,,,
rev_12900,1.0,SERVICE,SERVICE_STAFF_ATTITUDE,1.0,1.0,nhiệt tình,branch_nguyen_chi_thanh,2026-05-05T11:41:33+07:00,Nguyễn Chí Thanh,shopeefood,1,,,,,
rev_12900,-0.5,AMBIENCE,AMBIENCE_SEATING,2.0,1.0,chỗ này thích hợp để mang đi hơn dùng tại chỗ vì không gian hơi hạn chế. chỉ là một cái xe đẩy (ngay bên hàng bánh tráng trộn) và có vài cái ghế ngồi xung quanh thôi chứ không phải là quán hẳn luôn đâu.,branch_nguyen_chi_thanh,2026-05-05T11:41:33+07:00,Nguyễn Chí Thanh,shopeefood,1,,,,,
rev_12889,1.0,FOOD,FOOD_TASTE,1.0,1.0,"cháo rất là ngon luôn ý. nghe bảo cháo ở đây ninh rất lâu. sụn nhiều ăn mềm, cháo ăn đậm đà quẩy giòn tan",branch_nguyen_hue,2026-05-05T11:50:48+07:00,Nguyễn Huệ,shopeefood,1,,,,,
rev_12889,0.5,FOOD,FOOD_PORTION,1.0,1.0,tô cháo ở đây nhiều lắm ý,branch_nguyen_hue,2026-05-05T11:50:48+07:00,Nguyễn Huệ,shopeefood,1,,,,,
rev_12889,0.5,FOOD,FOOD_TASTE,1.0,1.0,thịt xiên ăn thơm mỡ và thịt nạt xen lẫn ko bị cháy quá,branch_nguyen_hue,2026-05-05T11:50:48+07:00,Nguyễn Huệ,shopeefood,1,,,,,
rev_12889,1.0,SERVICE,SERVICE_WAIT_TIME,1.0,1.0,quán đông khách nhưng vài phút là mình có đồ luôn,branch_nguyen_hue,2026-05-05T11:50:48+07:00,Nguyễn Huệ,shopeefood,1,,,,,
rev_12893,-0.5,FOOD,FOOD_TASTE,2.0,1.0,ra ăn thấy thất vọng quá chắc do khẩu vị của mình không hợp,branch_hang_bo,2026-05-05T12:01:14+07:00,Hàng Bồ,shopeefood,0,,,,,
rev_12893,-0.5,FOOD,FOOD_TASTE,2.0,1.0,nước chấm thì nhạt toẹt,branch_hang_bo,2026-05-05T12:01:14+07:00,Hàng Bồ,shopeefood,0,,,,,
rev_12893,-0.5,FOOD,FOOD_TEMPERATURE,2.0,1.0,chả không nóng,branch_hang_bo,2026-05-05T12:01:14+07:00,Hàng Bồ,shopeefood,0,,,,,
rev_12899,-0.5,AMBIENCE,AMBIENCE_COMFORT,2.0,1.0,bên trong nhà có bàn ghế gỗ nhưng có vẻ bí hơn nên mình hay ngồi ngoài vỉa hè cho thoáng,branch_giai_phong,2026-05-05T12:12:27+07:00,Giải Phóng,google_maps,1,,,,,
rev_12899,-0.5,FOOD,FOOD_TASTE,2.0,1.0,thịt xá xíu (thịt nhiều mỡ lắm trời ơi... đĩa của mình 4 miếng mà 3 miếng mỡ rồi),branch_giai_phong,2026-05-05T12:12:27+07:00,Giải Phóng,google_maps,1,,,,,
rev_12899,0.5,FOOD,FOOD_TASTE,1.0,1.0,vị nước sốt hơi ngọt ngọt dễ ăn mà khá đưa miệng chứ không bị ngang đâu nhé,branch_giai_phong,2026-05-05T12:12:27+07:00,Giải Phóng,google_maps,1,,,,,
rev_12899,0.5,FOOD,FOOD_TASTE,1.0,1.0,pate cũng ngậy ngậy khá okie,branch_giai_phong,2026-05-05T12:12:27+07:00,Giải Phóng,google_maps,1,,,,,
rev_12899,1.0,FOOD,FOOD_TASTE,1.0,1.0,trứng lòng đào chảy thì đỉnh rồi ạ,branch_giai_phong,2026-05-05T12:12:27+07:00,Giải Phóng,google_maps,1,,,,,
rev_12899,1.0,SERVICE,SERVICE_PROFESSIONALISM,1.0,1.0,"nhân viên khá nhanh nhẹn, bao quát khách tốt",branch_giai_phong,2026-05-05T12:12:27+07:00,Giải Phóng,google_maps,1,,,,,
rev_12899,1.0,SERVICE,SERVICE_WAIT_TIME,1.0,1.0,phục vụ rất nhanh dù quán khá đông,branch_giai_phong,2026-05-05T12:12:27+07:00,Giải Phóng,google_maps,1,,,,,
rev_12899,-0.5,PRICE,PRICE_VALUE_FOR_MONEY,2.0,1.0,"cá nhân mình thì thấy hơi đắt, không phù hợp lắm với team ăn thủng nồi trôi rế vì mình vẫn phải đi làm thêm cốc chè nữa mới okie cái bụng",branch_giai_phong,2026-05-05T12:12:27+07:00,Giải Phóng,google_maps,1,,,,,
rev_12905,1.0,FOOD,FOOD_TASTE,1.0,1.0,pizza thơm béo phô mai ngon nhất đặc biệt là pizza sốt pesto ấy béo béo vừa miệng,branch_hang_bo,2026-05-05T12:15:56+07:00,Hàng Bồ,shopeefood,1,,,,,
