Comment,Rating
món ăn cực tệ,0
mình thấy mọi người review tích cực nhưng thực sự mình không thấy lẩu ở đây giống review. lẩu đắt và chán thực sự. never come back!,0
"chắc với sinh viên thì ai cũng quen thuộc với lẩu nguyệt. cứ có dịp gì tụ tập đông đông là nhóm mình lại qua đây ăn. vừa ngon vừa rẻ. quán thì phải kéo dài từ vỉa hè đến cả trong ngõ 106, có cả ngồi dưới nhà và đi thang máy lên tầng tùy mình muốn chọn ngồi đâu thì ngồi.
 quán cũng chỉ có 2 loại lẩu: lẩu riêu cua và lẩu hải sản. nhân viên thường lấy đồ theo kiểu 100k/ người. lẩu riêu cua nếu đi 7 người thì cũng chỉ gọi phần cho 5 người thôi, không sẽ không hết vì quá nhiều )). thường bọn mình sẽ gọi thêm 1 đĩa lòng, tràng, trứng gà non 100k/ đĩa ăn kèm. còn lẩu hải sản cũng khá đầy đặn 350k/ nồi. quán cũng bán thêm quẩy ăn kèm lẩu nữa. nói chung ăn ở đây cứ chia đầu người 120k là no lắm rồi ý ^^.",1
"nhiều hôm thèm lẩu riêu mà chỉ có một mình thì nên ra đây để ăn vì giá rổ rất phải chăng để có thể không cần đồng bọn.
tết nhất ngán thịt thì có thể qua đây vì lẩu ở đây cực nhiều đậu. thuộc thể loại ăn lẩu thích ăn rau nhiều hơn thịt nên quán này cực hợp với mình. gọi nồi lẩu 2 người không thêm gì khác cũng đủ no căng bụng rồi. topping ở đây còn có cả chả cá, chả bò, giò tai cực ngon. ăn một người cũng hết 200k thui à.",1
không gian sạch sẽ.quán mới lên ra món hơi chậm.15p chờ cũng ko lâu lắm.nhưng đồ đều nóng thơm lừng.nhiều nữa chứ.,1
nhất định sẽ ủng hộ quán dài dài…,1
"lang thang với cái bụng đói.đứng chờ tàu thì ngó thấy.quay xe đi vào.lúc đầu nghĩ là nhầm quán cafe cơ.vì bàn ghê đẹp.có hai cô chỉ cũng đẹp luôn.đói mạnh dạn gọi hẳn đặc biệt 60k.
ăn ngon nhiều.còn bán rượu khá ngon.đồ đủ để hai ng ngồi nhấm vài ly luôn.
nói chung 5 sao",1
"cá thái quá to, rán cháy, cứng, khô.
nước dùng chán, nhạt",0
"đói quá vội ăn nên ko chụp đc cái ảnh tử tế. phải nói là bún cá ở đây ngon nhất trong các quán đã ăn. 
mình ăn thử rất rất nhiều quán, cả các quán nổi tiếng lẫn các quán nhỏ nhưng ko ở đâu làm ổn như ở đây. 
nước dùng đậm đà, màu sắc bắt mắt chứ ko trắng nhởn như nhiều quán khác. cá thì to bự cắn đã cái mồm, giòn tan luôn nhưng ko hề bị khô. theo thói quen mình mua thêm cá vì các quán khác cho cá rất ít. còn ở đây cá của 1 suất thôi cũng nhiều hơn hẳn các quán khác, thực sự to và nhiều cực luôn. có vài miếng cá nhiều xương nhưng chấp nhận đc vì ngon. nước chấm cũng ngon khỏi bàn. đồ kèm theo chuẩn bị đầy đủ.
thái độ bán hàng cũng tốt. nếu là quán khác thì cứ tự ý mà cho theo ý mình thôi. còn ở đây gọi lịch sự hỏi khách ăn rau cần đc ko vì tạm thời ko có cải. vậy mà khi nhận đồ vẫn đc cả 2 suất rau cải. 
đến anh chồng nhật khó tính cũng phải khen là tốt nhất từ trc đến nay.
hy vọng lần sau ăn sẽ ko có gì thay đổi.",1
"mình vẫn k hiểu vì sao quán mở được đến tận 7-8 cơ sở tại hn và sg )))) đồ ăn ở mức trung bình, nước lẩu thái chả có gì đặc sắc. nồi lẩu nhỏ hơn 300k ăn lèo tèo vài miếng thịt, tôm bở ko tươi, nấm cho 2 người ăn được 1 nhúm. món cánh gà tre ăn tạm ổn nhất, xôi xoài ăn rõ chán, xoài nhũn và nhạt nhẽo. giá quá đắt so với những gì đã được trải nghiệm.",0
"mình ăn hai món đặc trưng nhất của thái là lẩu tomyum và pad thai. pad thai thì trời ơi, hời hợt và ẩu tả, quán nghe tên rất thái mà món này đúng kiểu làm cho có, pad thai mà không có trứng, lạc để nguyên hạt không hề rã rối , đĩa thì rõ to mà đồ thì tong teo, nói thật nếu không vì vị xào cũng lên vị me thì chắc mình mình cho 1 điểm.

lẩu tomyum vị đầu thấy cũng ổn, nhưng thực sự rất mặn, chắc để mọi người ăn cho no nhanh (vì mình gọi buffet lẩu), rau ra từng đĩa lèo tèo, kéo lại nhân viên lên đồ cũng nhanh không thì chắc thảm lắm 

ah món chân gà muối gia vị dân tộc gì đó cũng được, chân gà khá thơm không bị tanh, nước chấm lẩu ngon.",0
"nhìn chung đồ ăn khá hợp vị. nấm chiên cũng rất ngon có món miến trộn hải sản hơi cay . không gian rộng rãi, trông ấm cúng. giá cả cũng hợp lý. các bạn nhân viên thì max nhiệt tình.",1
"chị bán hàng phục vụ nhiệt tình lại còn luôn vui vẻ với khách hàng . mỗi sáng mình hay ghé qua làm 1 chai sữa đậu nành hoặc nước đỗ đen với khoảng chục cái quẩy nóng, vậy là bữa sáng ngon lành, no nê ,bữa nào không ăn thấy nhớ phết.",1
"mình bị nghiện món này nên hôm nào dù nhà xa vẫn phải ghé qua mới khổ, lúc trước thấy quán nhìn khang trang sạch sẽ tưởng mắc ai ngờ vừa rẻ mà còn vừa miệng. thích lắm ạ , mà nghe nói quán mở thêm chi nhánh ở khâm thiên thì tiện cho mình quá vì gần nhà",1
"mình thỉnh thoảng thèm hay ghé quán mua mấy chục cái quẩy về ăn với mấy đứa em, quẩy ngon mà giá lại rẻ, nhìn cửa hàng cũng rất sạch sẽ nữa. nay biết quán mở thêm chi nhánh bên khâm thiên, sẽ giới thiệu người quen cho cửa hàng",1
